Extracted word after stopword,Different Meaning,Detection,Definition of the token,Dictionary-NLTK-wordnet
converted,"('change', 'exchange', 'commute', 'convert')",Polysemy,"exchange or replace with another, usually of the same kind or category",change.v.06
champion,"('champion', 'prizewinning')",Polysemy,holding first place in a contest,champion.s.01
deems,"('deem', 'hold', 'view_as', 'take_for')",Polysemy,keep in mind or convey as a conviction or view,deem.v.01
washed,"('washed', 'water-washed')",Polysemy,clean by virtue of having been washed in water,washed.s.01
close,"('close',)",Not a Polysemy,used of hair or haircuts,close.s.13
addressing,"('address',)",Not a Polysemy,adjust and aim (a golf ball) at in preparation of hitting,address.v.10
project,"('project', 'externalize', 'externalise')",Polysemy,regard as objective,project.v.12
transporter,"('conveyer_belt', 'conveyor_belt', 'conveyer', 'conveyor', 'transporter')",Polysemy,a moving belt that transports objects (as in a factory),conveyer_belt.n.01
took,"('take',)",Not a Polysemy,take by force,take.v.21
simplicity,"('simplicity', 'simpleness')",Polysemy,the quality of being simple or uncompounded,simplicity.n.01
implementing,"('implement',)",Not a Polysemy,apply in a manner consistent with its purpose or design,implement.v.01
representation,"('representation',)",Not a Polysemy,the right of being represented by delegates who have a voice in some legislative body,representation.n.09
counter,"('counter',)",Not a Polysemy,in the opposite direction,counter.r.01
americans,"('American',)",Not a Polysemy,a native or inhabitant of a North American or Central American or South American country,american.n.03
passing,"('pass',)",Not a Polysemy,transfer to another; of rights or property,pass.v.18
job,"('problem', 'job')",Polysemy,a state of difficulty that needs to be resolved,problem.n.01
lost,"('lose',)",Not a Polysemy,"fail to keep or to maintain; cease to have, either physically or in an abstract sense",lose.v.01
chosen,"('choose',)",Not a Polysemy,see fit or proper to act in a certain way; decide to act in a certain way,choose.v.03
importance,"('importance',)",Not a Polysemy,the quality of being important and worthy of note,importance.n.01
depot,"('terminal', 'terminus', 'depot')",Polysemy,station where transport vehicles load or unload passengers or goods,terminal.n.01
hunting,"('hunt',)",Not a Polysemy,"seek, search for",hunt.v.06
broken,"('break', 'burst', 'erupt')",Polysemy,force out or release suddenly and often violently something pent up,break.v.09
somalis,"('Somalian', 'Somali')",Polysemy,a member of a tall dark (mostly Muslim) people inhabiting Somalia,somalian.n.01
blow,"('blow',)",Not a Polysemy,exhale hard,blow.v.01
presence,"('presence', 'front')",Polysemy,the immediate proximity of someone or something,presence.n.02
mean,"('average', 'mean')",Polysemy,approximating the statistical norm or average or expected value,average.s.01
pin,"('bowling_pin', 'pin')",Polysemy,a club-shaped wooden object used in bowling; set up in triangular groups of ten as the target,bowling_pin.n.01
wrath,"('wrath', 'anger', 'ire', 'ira')",Polysemy,belligerence aroused by a real or supposed wrong (personified as one of the deadly sins),wrath.n.02
expose,"('queer', 'expose', 'scupper', 'endanger', 'peril')",Polysemy,"put in a dangerous, disadvantageous, or difficult position",queer.v.02
biggest,"('big', 'large', 'magnanimous')",Polysemy,generous and understanding and tolerant,big.s.11
victim,"('victim', 'dupe')",Polysemy,a person who is tricked or swindled,victim.n.02
arms,"('weaponry', 'arms', 'implements_of_war', 'weapons_system', 'munition')",Polysemy,weapons considered collectively,weaponry.n.01
driving,"('drive',)",Not a Polysemy,"strike with a driver, as in teeing off",drive.v.17
plane,"('plane', 'planer', 'planing_machine')",Polysemy,a power tool for smoothing or shaping wood,plane.n.04
suppression,"('suppression', 'curtailment')",Polysemy,the act of withholding or withdrawing some book or writing from publication or circulation,suppression.n.02
radical,"('radical',)",Not a Polysemy,(mathematics) a quantity expressed as the root of another quantity,radical.n.04
arnold,"('Arnold', 'Benedict_Arnold')",Polysemy,United States general and traitor in the American Revolution; in 1780 his plan to surrender West Point to the British was foiled (1741-1801),arnold.n.02
em,"('em', 'em_quad', 'mutton_quad')",Polysemy,a quad with a square body,em.n.01
sick,"('pale', 'pallid', 'wan', 'sick')",Polysemy,(of light) lacking in intensity or brightness; dim or feeble,pale.s.02
blown,"('blow',)",Not a Polysemy,exhale hard,blow.v.01
brains,"('brain', 'brainpower', 'learning_ability', 'mental_capacity', 'mentality', 'wit')",Polysemy,mental ability,brain.n.02
earned,"('earn', 'garner')",Polysemy,acquire or deserve by one's efforts or actions,earn.v.02
seize,"('impound', 'attach', 'sequester', 'confiscate', 'seize')",Polysemy,"take temporary possession of as a security, by legal authority",impound.v.01
scale,"('scale',)",Not a Polysemy,the ratio between the size of something and a representation of it,scale.n.03
ru,"('ruthenium', 'Ru', 'atomic_number_44')",Polysemy,a rare polyvalent metallic element of the platinum group; it is found associated with platinum,ruthenium.n.01
hottest,"('hot',)",Not a Polysemy,very good; often used in the negative,hot.s.15
disrupted,"('disrupt',)",Not a Polysemy,throw into disorder,disrupt.v.02
region,"('region', 'realm')",Polysemy,a knowledge domain that you are interested in or are communicating about,region.n.05
firm,"('firm',)",Not a Polysemy,(of especially a person's physical features) not shaking or trembling,firm.s.05
h,"('heat_content', 'total_heat', 'enthalpy', 'H')",Polysemy,(thermodynamics) a thermodynamic quantity equal to the internal energy of a system plus the product of its volume and pressure,heat_content.n.01
hang,"('hang',)",Not a Polysemy,a gymnastic exercise performed on the rings or horizontal bar or parallel bars when the gymnast's weight is supported by the arms,hang.n.03
allowed,"('leave', 'allow_for', 'allow', 'provide')",Polysemy,make a possibility or provide opportunity for; permit to be attainable or cause to remain,leave.v.06
awaiting,"('expect', 'look', 'await', 'wait')",Polysemy,look forward to the probable occurrence of,expect.v.03
character,"('character',)",Not a Polysemy,good repute,character.n.06
commit,"('invest', 'put', 'commit', 'place')",Polysemy,make an investment,invest.v.01
backed,"('back',)",Not a Polysemy,travel backward,back.v.02
settle,"('settle',)",Not a Polysemy,establish or develop as a residence,settle.v.09
fierce,"('fierce', 'tearing', 'vehement', 'violent', 'trigger-happy')",Polysemy,marked by extreme intensity of emotions or convictions; inclined to react violently; fervid,fierce.s.02
lawrence,"('Lawrence', 'T._E._Lawrence', 'Thomas_Edward_Lawrence', 'Lawrence_of_Arabia')",Polysemy,Welsh soldier who from 1916 to 1918 organized the Arab revolt against the Turks; he later wrote an account of his adventures (1888-1935),lawrence.n.02
elbow,"('elbow',)",Not a Polysemy,the joint of a mammal or bird that corresponds to the human elbow,elbow.n.05
floor,"('floor',)",Not a Polysemy,the legislative hall where members debate and vote and conduct other business,floor.n.09
get,"('make', 'get')",Polysemy,give certain properties to something,make.v.02
mechanism,"('mechanism',)",Not a Polysemy,(philosophy) the philosophical theory that all phenomena can be explained in terms of physical or biological causes,mechanism.n.04
work,"('work',)",Not a Polysemy,provoke or excite,work.v.18
one,"('one',)",Not a Polysemy,used informally as an intensifier,one.s.04
spell,"('spell',)",Not a Polysemy,place under a spell,spell.v.05
bleeding,"('shed_blood', 'bleed', 'hemorrhage')",Polysemy,lose blood from one's body,shed_blood.v.02
spare,"('bare', 'scanty', 'spare')",Polysemy,lacking in amplitude or quantity,bare.s.02
developer,"('developer',)",Not a Polysemy,someone who develops real estate (especially someone who prepares a site for residential or commercial use),developer.n.01
seized,"('appropriate', 'capture', 'seize', 'conquer')",Polysemy,"take possession of by force, as after an invasion",appropriate.v.02
tip,"('tip',)",Not a Polysemy,remove the tip from,tip.v.09
echoes,"('Echo',)",Not a Polysemy,(Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained,echo.n.02
character,"('character', 'fiber', 'fibre')",Polysemy,the inherent complex of attributes that determines a persons moral and ethical actions and reactions; - Herbert Spencer,character.n.03
sovereignty,"('reign', 'sovereignty')",Polysemy,royal authority; the dominion of a monarch,reign.n.03
peace,"('peace', 'public_security')",Polysemy,the general security of public places,peace.n.04
linked,"('coupled', 'joined', 'linked')",Polysemy,"connected by a link, as railway cars or trailer trucks",coupled.s.02
sympathetic,"('sympathetic',)",Not a Polysemy,of or relating to the sympathetic nervous system,sympathetic.a.01
failed,"('fail',)",Not a Polysemy,judge unacceptable,fail.v.06
role,"('function', 'purpose', 'role', 'use')",Polysemy,what something is used for,function.n.02
rule,"('convention', 'normal', 'pattern', 'rule', 'formula')",Polysemy,something regarded as a normative example,convention.n.02
golden,"('golden', 'halcyon', 'prosperous')",Polysemy,marked by peace and prosperity,golden.s.02
putting,"('put',)",Not a Polysemy,cause to be in a certain state; cause to be in a certain relation,put.v.02
bookings,"('reserve', 'hold', 'book')",Polysemy,arrange for and reserve (something for someone else) in advance,reserve.v.04
item,"('detail', 'item', 'point')",Polysemy,an isolated fact that is considered separately from the whole,detail.n.01
fair,"('fair',)",Not a Polysemy,join so that the external surfaces blend smoothly,fair.v.01
gap,"('gap',)",Not a Polysemy,a difference (especially an unfortunate difference) between two opinions or two views or two situations,gap.n.05
disturbance,"('perturbation', 'disturbance')",Polysemy,"activity that is a malfunction, intrusion, or interruption",perturbation.n.03
legalize,"('legalize', 'legalise', 'decriminalize', 'decriminalise', 'legitimize', 'legitimise', 'legitimate', 'legitimatize', 'legitimatise')",Polysemy,make legal,legalize.v.01
sharp,"('sharply', 'sharp', 'acutely')",Polysemy,changing suddenly in direction and degree,sharply.r.03
spawn,"('spawn',)",Not a Polysemy,the mass of eggs deposited by fish or amphibians or molluscs,spawn.n.01
allegedly,"('allegedly',)",Not a Polysemy,according to what has been alleged,allegedly.r.01
holding,"('agree', 'hold', 'concur', 'concord')",Polysemy,be in accord; be in agreement,agree.v.01
sung,"('Sung', 'Sung_dynasty', 'Song', 'Song_dynasty')",Polysemy,the imperial dynasty of China from 960 to 1279; noted for art and literature and philosophy,sung.n.01
mandarin,"('mandarin', 'mandarin_orange')",Polysemy,a somewhat flat reddish-orange loose skinned citrus of China,mandarin.n.05
outrage,"('indignation', 'outrage')",Polysemy,a feeling of righteous anger,indignation.n.01
charge,"('charge',)",Not a Polysemy,an impetuous rush toward someone or something,charge.n.01
released,"('free', 'release')",Polysemy,make (information) available for publication,free.v.05
hitting,"('hit', 'strike')",Polysemy,drive something violently into a location,hit.v.12
march,"('demonstrate', 'march')",Polysemy,march in protest; take part in a demonstration,demonstrate.v.04
take,"('assume', 'acquire', 'adopt', 'take_on', 'take')",Polysemy,"take on a certain form, attribute, or aspect",assume.v.03
hit,"('hit',)",Not a Polysemy,a dose of a narcotic drug,hit.n.05
right,"('properly', 'decently', 'decent', 'in_good_order', 'right', 'the_right_way')",Polysemy,in the right manner,properly.r.01
completing,"('complete', 'fill_out', 'fill_in', 'make_out')",Polysemy,write all the required information onto a form,complete.v.05
differ,"('differ',)",Not a Polysemy,be different,differ.v.01
piece,"('piece',)",Not a Polysemy,a separate part of a whole,piece.n.01
proof,"('proof', 'test_copy', 'trial_impression')",Polysemy,(printing) an impression made to check for errors,proof.n.04
sic,"('sic', 'set')",Polysemy,urge to attack someone,sic.v.01
poles,"('pole',)",Not a Polysemy,a long (usually round) rod of wood or metal or plastic,pole.n.01
worker,"('worker',)",Not a Polysemy,a person who works at a specific occupation,worker.n.01
newest,"('new',)",Not a Polysemy,unfamiliar,new.s.11
grab,"('grab',)",Not a Polysemy,take or grasp suddenly,grab.v.05
losing,"('lose', 'turn_a_loss')",Polysemy,fail to make money in a business; make a loss or fail to profit,lose.v.07
claims,"('claim',)",Not a Polysemy,"ask for legally or make a legal claim to, as of debts, for example",claim.v.03
defies,"('defy', 'resist', 'refuse')",Polysemy,"elude, especially in a baffling way",defy.v.02
crude,"('crude', 'raw')",Polysemy,not processed or subjected to analysis,crude.s.06
capturing,"('capture', 'catch')",Polysemy,"capture as if by hunting, snaring, or trapping",capture.v.06
talked,"('spill_the_beans', 'let_the_cat_out_of_the_bag', 'talk', 'tattle', 'blab', 'peach', 'babble', 'sing', 'babble_out', 'blab_out')",Polysemy,divulge confidential information or secrets,spill_the_beans.v.01
weak,"('weak',)",Not a Polysemy,(used of verbs) having standard (or regular) inflection,weak.s.08
make,"('make',)",Not a Polysemy,gather and light the materials for,make.v.38
easy,"('easy',)",Not a Polysemy,posing no difficulty; requiring little effort,easy.a.01
counted,"('reckon', 'count')",Polysemy,take account of,reckon.v.06
pulled,"('pull', 'draw', 'force')",Polysemy,cause to move by pulling,pull.v.01
